commentId, reviewId, comment 
1,  1, Voluptates impedit sint qui rem et ut dolor. 
2,  2, Ut rerum eos modi. 
3,  3, Possimus veniam voluptates est sunt quis. 
4,  4, Soluta quibusdam cumque quis non consequatur. 
5,  5, Ut non mollitia laboriosam culpa suscipit soluta illum dolores. 
6,  6, Quasi quae ut et nam rem minus earum. 
7,  7, Placeat illo maxime est placeat quasi quibusdam dolores et. 
8,  8, Ut necessitatibus eum. 
9,  9, Ut distinctio sint. 
10,  10, Eius quo cum unde eligendi nobis. 
