reviewID, userId, review, housId, cleanRating, accRating, commRating, locationRating, checkInRating, valueRating 
1, 1, Soluta in consequuntur ea quo minima. Odit aut iusto nulla quis voluptatem eveniet inventore asperiores. Totam veniam autem molestias ex deleniti sit.,  1, 1, 1, 1, 1, 1, 1 
2, 2, Adipisci excepturi itaque voluptate est dignissimos quidem officiis pariatur reprehenderit. Ut animi voluptatum ea similique ut explicabo et sit voluptates. Similique ullam a tempora. Officiis sunt itaque ea repudiandae laudantium reprehenderit consectetur mollitia. Saepe fuga soluta et adipisci laudantium quae dolore.,  2, 2, 2, 2, 2, 2, 2 
3, 3, Qui a libero et temporibus saepe officiis magnam dignissimos sunt. Molestias et sint. Odit et cupiditate eum atque nihil voluptates voluptates doloribus accusantium. Eos qui aliquid illum ea. Culpa recusandae inventore ipsum iste enim consectetur cumque. Eveniet optio rem omnis cupiditate dolorem maiores distinctio sunt unde.,  3, 3, 3, 3, 3, 3, 3 
4, 4, At cupiditate tempore itaque quam. Earum dicta exercitationem ipsum voluptates illo inventore consequuntur laboriosam.,  4, 4, 4, 4, 4, 4, 4 
0, 5, Enim qui voluptas. Sequi voluptate quia eveniet blanditiis mollitia. A et est. Magnam et sapiente fuga. Veniam perferendis voluptas vel fugit.,  5, 0, 0, 0, 0, 0, 0 
1, 6, Numquam laboriosam quia et quidem ea. Et reiciendis est minima veniam ea porro doloremque. Totam libero id numquam ipsa pariatur unde mollitia.,  6, 1, 1, 1, 1, 1, 1 
2, 7, Officiis quo quia sunt facilis omnis possimus reiciendis eos. Quia reiciendis corrupti sint odio. Ipsam quos vel quibusdam minus. Optio accusantium et eum rerum dolorem qui velit.,  7, 2, 2, 2, 2, 2, 2 
3, 8, Sint aliquam error rerum rerum aspernatur harum et facilis. Voluptatem harum aliquam beatae eum et. Magni perspiciatis quae quae velit aliquid ab maxime facere qui. Est iste amet blanditiis velit voluptatem nemo exercitationem. Omnis quos minus aliquid accusamus laborum dolorem consequatur eveniet aut.,  8, 3, 3, 3, 3, 3, 3 
4, 9, Distinctio aut quia ipsa aut quia voluptates ut aperiam quo. Ipsam deserunt nostrum ut est non minus illo numquam eos. Dolor quis assumenda id exercitationem qui et vero. Sunt in mollitia fugit tenetur est. Voluptas saepe laboriosam expedita. Rerum enim est.,  9, 4, 4, 4, 4, 4, 4 
0, 10, Illum quis nihil labore nisi velit itaque odio quam distinctio. Consectetur fuga porro quas quisquam ut. Consequatur est doloribus velit repellendus velit ratione ut id ea.,  10, 0, 0, 0, 0, 0, 0 
